initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,practice_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixation_practice.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_practice.stopped,post_section.started,post_section.stopped,key_resp_4.keys,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,feedback_post_section.started,key_resp_4.started,participant,session,learning_type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.048119799997948576,0.25057379999998375,0.25057379999998375,0.25057379999998375,3.6313506999977108,space,3.377182799998991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,3,270,3,left,,0,0,0,0,0,0,0,0,,,,,,,,,3.6649220999970566,,,,,,,,,,3.6438581999973394,3.644245999999839,3.6589053999996395,3.6649220999970566,3.6649220999970566,4.371168299996498,left,1,0.6983000999971409,None,4.371618399996805,4.380724599999667,4.380724599999667,4.680662899998424,4.980829899999662,4.971383699998114,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,3,270,3,left,,0,0,0,0,0,1,1,1,,,,,,,,,4.980829899999662,,,,,,,,,,,,4.97160299999814,4.980829899999662,4.980829899999662,5.532236099999864,left,1,0.5428737000002002,None,5.532552599997871,5.541073499996855,5.541073499996855,5.841389199998957,6.1413787999990745,6.132144599996536,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,0,0,0,up,,0,0,0,0,0,2,2,2,,,,,,,,,6.1413787999990745,,,,,,,,,,,,6.132429399996909,6.1413787999990745,6.1413787999990745,6.563397899997653,up,1,0.4136432999985118,None,6.563640999997006,6.57171549999839,6.57171549999839,6.871809699998266,7.172575799999322,7.162521199999901,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,1,90,1,right,,0,0,0,0,0,3,3,3,,,,,,,,,7.172575799999322,,,,,,,,,,,,7.162767499998154,7.172575799999322,7.172575799999322,7.563893399998051,right,1,0.38345469999694615,None,7.564149299996643,7.572227699998621,7.572227699998621,7.872364899998502,8.172556099998474,8.163289699998131,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,2,180,2,down,,0,0,0,0,0,4,4,4,,,,,,,,,8.172556099998474,,,,,,,,,,,,8.163591699998506,8.172556099998474,8.172556099998474,8.603354399998352,down,1,0.4225905999992392,None,8.603585299999395,8.61277969999719,8.61277969999719,8.913470799998322,9.213027199999487,9.204608799998823,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,1,90,1,right,,0,0,0,0,0,5,5,5,,,,,,,,,9.213027199999487,,,,,,,,,,,,9.204870699999447,9.213027199999487,9.213027199999487,9.763924599999882,right,1,0.5427471000002697,None,9.76415459999771,9.773513999996794,9.773513999996794,10.07357719999709,10.373761699996976,10.36425589999999,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,0,0,0,up,,0,0,0,0,0,6,6,6,,,,,,,,,10.373761699996976,,,,,,,,,,,,10.36449249999714,10.373761699996976,10.373761699996976,10.889102799999819,up,1,0.5092194999997446,None,10.889374399997905,10.894286399998236,10.894286399998236,11.19407019999926,11.494321199999831,11.484548599997652,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,3,270,3,left,,0,0,0,0,0,7,7,7,,,,,,,,,11.494321199999831,,,,,,,,,,,,11.484760999999708,11.494321199999831,11.494321199999831,11.945327299999917,left,1,0.4451268999982858,None,11.94567939999979,11.954670199997054,11.954670199997054,12.254618199996912,12.555208899997524,12.545359299998381,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
sequences/890434_initial_random.csv,2,180,2,down,,0,0,0,0,0,8,8,8,,,,,,,,,12.555208899997524,,,,,,,,,,,,12.545685399996728,12.555208899997524,12.555208899997524,13.059634499997628,down,1,0.49689109999962966,None,13.05988509999952,13.066075899998395,13.066075899998395,13.36550029999853,13.665597699997306,13.655902599999536,,,,,,,,,,,,,,890434,001,motor,2024-04-08_21h03.57.296,ASRT_motor,2023.2.3,100.07735979982878,2024-04-08 21h04.50.168367 +0800,
