orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction
90,1,2,right
180,2,3,down
0,0,1,up
0,0,1,up
90,1,2,right
90,1,2,right
180,2,3,down
180,2,3,down
0,0,1,up
0,0,1,up
0,0,1,up
270,3,0,left
0,0,1,up
90,1,2,right
0,0,1,up
180,2,3,down
0,0,1,up
0,0,1,up
0,0,1,up
270,3,0,left
270,3,0,left
90,1,2,right
270,3,0,left
180,2,3,down
90,1,2,right
0,0,1,up
180,2,3,down
270,3,0,left
90,1,2,right
90,1,2,right
180,2,3,down
180,2,3,down
180,2,3,down
0,0,1,up
90,1,2,right
270,3,0,left
270,3,0,left
90,1,2,right
90,1,2,right
180,2,3,down
90,1,2,right
0,0,1,up
270,3,0,left
270,3,0,left
270,3,0,left
90,1,2,right
180,2,3,down
180,2,3,down
270,3,0,left
0,0,1,up
180,2,3,down
270,3,0,left
90,1,2,right
90,1,2,right
90,1,2,right
180,2,3,down
90,1,2,right
0,0,1,up
270,3,0,left
270,3,0,left
270,3,0,left
90,1,2,right
0,0,1,up
180,2,3,down
270,3,0,left
0,0,1,up
0,0,1,up
270,3,0,left
270,3,0,left
90,1,2,right
180,2,3,down
180,2,3,down
0,0,1,up
0,0,1,up
180,2,3,down
270,3,0,left
90,1,2,right
90,1,2,right
180,2,3,down
180,2,3,down
0,0,1,up
0,0,1,up
90,1,2,right
270,3,0,left
180,2,3,down
